epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.7803,0.72956,3.97922,1.32561,0,0,0,0,0.41897,3.63078,1.18442,4e-05,4e-05,4e-05
2,6.51617,0.6676,3.33087,1.2296,0.4898,0.92308,0.85436,0.76715,0.46902,3.33646,1.1342,8.45325e-05,8.45325e-05,8.45325e-05
3,8.39247,0.59209,2.31329,1.16298,0.41935,1,0.98087,0.85084,0.53351,2.67669,1.14823,0.00012857,0.00012857,0.00012857
4,10.1728,0.61207,1.72046,1.17888,0.59091,1,0.97944,0.83572,0.47467,2.4489,1.0965,0.000172112,0.000172112,0.000172112
5,12.136,0.59701,1.37538,1.16892,1,0.95331,0.995,0.91411,0.5409,1.19071,1.12708,0.00021516,0.00021516,0.00021516
6,13.9798,0.54185,1.18819,1.10246,1,0.99853,0.995,0.89671,0.4952,0.56218,1.11312,0.000257713,0.000257713,0.000257713
7,15.751,0.53698,1.10177,1.10554,0.99796,1,0.995,0.91549,0.43639,0.46754,1.02864,0.00029977,0.00029977,0.00029977
8,17.6307,0.5129,1.06009,1.09365,0.99785,1,0.995,0.94594,0.34212,0.39828,0.95896,0.000341333,0.000341333,0.000341333
9,20.8264,0.57627,1.08822,1.12811,0.98574,1,0.995,0.91199,0.43657,0.44483,1.03082,0.0003824,0.0003824,0.0003824
10,22.7886,0.48488,1.00843,1.04666,0.99454,1,0.995,0.88812,0.43212,0.48342,1.02828,0.000422973,0.000422973,0.000422973
11,24.8866,0.52106,0.9978,1.09284,0.99764,1,0.995,0.93596,0.3575,0.55153,0.97678,0.00046305,0.00046305,0.00046305
12,26.8416,0.55279,0.96486,1.09846,0.99785,1,0.995,0.94237,0.36083,0.41188,0.96161,0.00046975,0.00046975,0.00046975
13,29.0236,0.46849,0.91188,1.01733,0.9976,1,0.995,0.94582,0.37024,0.40677,0.97507,0.000467,0.000467,0.000467
14,30.8857,0.48834,0.89504,1.0411,0.99823,1,0.995,0.93392,0.34735,0.42383,0.95611,0.00046425,0.00046425,0.00046425
15,32.6147,0.46804,0.87484,1.043,0.99798,1,0.995,0.93423,0.34208,0.4095,0.94415,0.0004615,0.0004615,0.0004615
16,34.3574,0.48431,0.8649,1.0684,0.99774,1,0.995,0.94826,0.34186,0.36279,0.94237,0.00045875,0.00045875,0.00045875
17,36.133,0.45566,0.85147,1.02874,0.99871,1,0.995,0.96023,0.31212,0.34709,0.93327,0.000456,0.000456,0.000456
18,37.8907,0.49685,0.84162,1.03388,1,0.99828,0.995,0.97457,0.29529,0.39385,0.92658,0.00045325,0.00045325,0.00045325
19,39.6384,0.4685,0.78055,1.0491,0.99884,1,0.995,0.9636,0.29301,0.35854,0.92718,0.0004505,0.0004505,0.0004505
20,41.3325,0.44226,0.77426,1.01924,0.99754,1,0.995,0.96173,0.35492,0.43204,0.96645,0.00044775,0.00044775,0.00044775
21,42.997,0.49732,0.80419,1.02552,0.99804,1,0.995,0.97487,0.32462,0.40753,0.95567,0.000445,0.000445,0.000445
22,44.7243,0.44267,0.75924,1.01697,1,0.9984,0.995,0.92692,0.38571,0.37866,1.01195,0.00044225,0.00044225,0.00044225
23,46.368,0.46819,0.75672,1.02778,0.99919,1,0.995,0.91234,0.44526,0.40257,1.04716,0.0004395,0.0004395,0.0004395
24,48.1116,0.45476,0.79075,1.04892,0.99797,1,0.995,0.95804,0.30492,0.34779,0.92679,0.00043675,0.00043675,0.00043675
25,50.2166,0.45514,0.74624,1.03827,0.99763,1,0.995,0.92488,0.33597,0.34029,0.96141,0.000434,0.000434,0.000434
26,52.7824,0.45505,0.76595,1.03162,0.99772,1,0.995,0.93363,0.36314,0.35562,0.97058,0.00043125,0.00043125,0.00043125
27,56.3977,0.47216,0.76672,1.02199,0.99711,1,0.995,0.94636,0.35578,0.41137,0.95011,0.0004285,0.0004285,0.0004285
28,58.5078,0.5004,0.73132,1.06653,0.99765,1,0.995,0.89557,0.44761,0.42806,1.03459,0.00042575,0.00042575,0.00042575
29,60.3453,0.42924,0.70429,1.00214,0.99654,1,0.995,0.91628,0.40854,0.38591,0.98531,0.000423,0.000423,0.000423
30,62.3122,0.45589,0.696,1.00593,0.99871,1,0.995,0.97805,0.31837,0.34489,0.92788,0.00042025,0.00042025,0.00042025
31,64.2436,0.43328,0.68331,1.00675,0.99779,1,0.995,0.9875,0.29475,0.30952,0.92121,0.0004175,0.0004175,0.0004175
32,67.2081,0.42179,0.67659,0.9932,0.99802,1,0.995,0.96537,0.29882,0.29928,0.92403,0.00041475,0.00041475,0.00041475
33,69.379,0.41481,0.65684,0.98544,0.99811,1,0.995,0.9485,0.29563,0.28041,0.91545,0.000412,0.000412,0.000412
34,71.4056,0.42887,0.64911,1.00184,0.99784,1,0.995,0.97314,0.27597,0.27913,0.9027,0.00040925,0.00040925,0.00040925
35,73.2738,0.42156,0.66323,1.01199,0.99784,1,0.995,0.96578,0.27755,0.27574,0.91329,0.0004065,0.0004065,0.0004065
36,75.2937,0.43414,0.64198,1.01898,0.99755,1,0.995,0.96164,0.31672,0.37511,0.94458,0.00040375,0.00040375,0.00040375
37,77.6626,0.38862,0.63631,0.97157,0.99775,1,0.995,0.9683,0.27222,0.33075,0.92355,0.000401,0.000401,0.000401
38,79.9655,0.40436,0.58987,0.99751,0.99813,1,0.995,0.95647,0.31431,0.28175,0.97293,0.00039825,0.00039825,0.00039825
39,82.0187,0.39514,0.61771,0.99849,0.99778,1,0.995,0.97464,0.27171,0.25562,0.91599,0.0003955,0.0003955,0.0003955
40,84.1466,0.40729,0.60182,0.99345,0.998,1,0.995,0.98181,0.29166,0.3104,0.92659,0.00039275,0.00039275,0.00039275
41,86.5642,0.42726,0.59758,1.0094,0.99799,1,0.995,0.9711,0.32092,0.31587,0.9312,0.00039,0.00039,0.00039
42,89.9228,0.38871,0.56845,0.99652,0.99796,1,0.995,0.9693,0.27206,0.28673,0.90229,0.00038725,0.00038725,0.00038725
43,92.023,0.39286,0.56934,0.98137,0.99798,1,0.995,0.98339,0.24699,0.25207,0.88842,0.0003845,0.0003845,0.0003845
44,94.0121,0.39996,0.56385,1.00661,0.99805,1,0.995,0.94738,0.30474,0.29051,0.92545,0.00038175,0.00038175,0.00038175
45,95.9986,0.38112,0.553,0.95884,0.99769,1,0.995,0.9238,0.34841,0.30706,0.9927,0.000379,0.000379,0.000379
46,98.2403,0.37066,0.53876,0.9551,0.99803,1,0.995,0.94625,0.28559,0.27935,0.92591,0.00037625,0.00037625,0.00037625
