epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.17166,0.72956,3.97922,1.32561,0,0,0,0,0.41897,3.63078,1.18442,4e-05,4e-05,4e-05
2,4.99811,0.66815,3.32916,1.23011,0.47917,0.88462,0.84351,0.75989,0.46359,3.33757,1.13089,8.49232e-05,8.49232e-05,8.49232e-05
3,6.80741,0.59371,2.32623,1.16679,0.39394,1,0.9884,0.86629,0.50814,2.7027,1.12564,0.000129765,0.000129765,0.000129765
4,8.60042,0.62215,1.7157,1.18495,0.53061,1,0.99389,0.87672,0.44318,2.44328,1.05332,0.000174525,0.000174525,0.000174525
5,10.9858,0.57804,1.38715,1.15888,1,0.94099,0.995,0.92523,0.47895,1.29957,1.10175,0.000219204,0.000219204,0.000219204
6,12.913,0.53954,1.18586,1.09008,1,0.99712,0.995,0.89406,0.47398,0.64684,1.15657,0.000263802,0.000263802,0.000263802
7,14.7702,0.53615,1.11215,1.09953,0.99729,1,0.995,0.87267,0.54337,0.57324,1.1618,0.000308318,0.000308318,0.000308318
8,16.492,0.54594,1.07336,1.12572,0.95809,1,0.99389,0.91748,0.4207,0.45886,1.04016,0.000352753,0.000352753,0.000352753
9,18.1221,0.57381,1.07045,1.1243,0.9978,0.96154,0.99389,0.90979,0.3796,0.47006,0.97107,0.000397107,0.000397107,0.000397107
10,19.8156,0.47981,1.0412,1.03747,0.99754,1,0.995,0.9356,0.35571,0.43898,0.95437,0.000441379,0.000441379,0.000441379
11,21.5486,0.49383,0.97208,1.08524,0.99777,1,0.995,0.95701,0.32601,0.37804,0.95064,0.00048557,0.00048557,0.00048557
12,23.3865,0.51887,0.97454,1.07576,0.99602,1,0.995,0.78007,0.52893,0.68977,1.04345,0.000495027,0.000495027,0.000495027
13,25.2309,0.48212,0.94735,1.03187,0.99739,1,0.995,0.93453,0.41741,0.4188,1.0273,0.000494575,0.000494575,0.000494575
14,28.3244,0.507,0.90708,1.0554,0.99769,1,0.995,0.94392,0.37115,0.38615,0.97144,0.000494123,0.000494123,0.000494123
15,29.9325,0.46183,0.85982,1.02605,0.96286,1,0.99389,0.95054,0.39346,0.44318,1.00466,0.000493671,0.000493671,0.000493671
16,31.5675,0.50801,0.86301,1.07441,0.99731,1,0.995,0.93627,0.3448,0.38255,0.95599,0.000493219,0.000493219,0.000493219
17,33.4608,0.50495,0.87558,1.04623,0.99786,1,0.995,0.96032,0.33347,0.40558,0.93507,0.000492767,0.000492767,0.000492767
18,35.0787,0.49152,0.83716,1.03245,0.9977,1,0.995,0.96926,0.30651,0.33366,0.93822,0.000492315,0.000492315,0.000492315
19,36.7382,0.4584,0.7803,1.02938,0.99732,1,0.995,0.96254,0.30052,0.35044,0.91619,0.000491863,0.000491863,0.000491863
20,38.3325,0.43867,0.78303,1.01326,0.99697,1,0.995,0.95684,0.32527,0.37567,0.94807,0.000491411,0.000491411,0.000491411
